optiontype,price,strike,score
put,0.045,667.0,58.27829453479101
put,0.065,670.0,57.969336924456194
put,0.055,668.0,57.72236682438062
put,0.055,669.0,57.10137990990647
put,0.045,666.0,55.43698773312481
put,0.07500000000000001,671.0,53.467109574743134
put,0.08499999999999999,672.0,51.04540359168321
put,0.10500000000000001,673.0,48.30468926568091
put,0.035,665.0,47.73475221813159
put,0.14500000000000002,675.0,47.60146760417327
put,0.125,674.0,47.48494832491908
put,0.035,664.0,46.008686262835056
put,0.035,662.0,45.59523667183189
put,0.035,663.0,44.80675942599223
put,0.165,676.0,43.34695896872376
put,0.20500000000000002,677.0,39.30465590731933
call,0.035,700.0,-37.26591282927696
put,0.245,678.0,36.36127807199993
put,0.045,650.0,36.348755881970355
put,0.055,655.0,35.3692398912372
put,0.07500000000000001,660.0,35.21528423313615
put,0.295,679.0,34.23951542333827
put,0.025,650.0,33.99450280003033
put,0.025,655.0,33.47949913196507
put,0.025,660.0,32.91621385426483
put,0.355,680.0,32.60056154009312
put,0.035,645.0,32.203654818378794
put,0.125,665.0,31.3763059233785
call,0.055,699.0,-30.984184497004303
put,0.10500000000000001,663.0,30.98146669715751
put,0.025,661.0,29.99481952300173
put,0.08499999999999999,661.0,29.624377679824924
put,0.11499999999999999,664.0,28.494596562631397
put,0.095,662.0,28.452442401883477
put,0.08499999999999999,650.0,27.683929196004925
call,0.10500000000000001,698.0,-27.682157612702383
put,0.14500000000000002,666.0,27.228520715181265
put,0.235,670.0,26.690508572800773
call,0.025,701.0,-26.63043192727006
put,0.43,681.0,26.60381671965293
put,0.185,668.0,26.239015647622903
put,0.025,635.0,25.557728067243556
put,0.035,625.0,25.521879420965128
put,0.035,630.0,25.515681000341555
put,0.20500000000000002,669.0,25.077070879887227
put,0.165,667.0,25.075158194038643
put,0.025,640.0,24.949110205520366
put,0.025,630.0,24.886029298043415
put,0.045,640.0,24.88246411406802
put,0.185,660.0,24.66775120309958
put,0.52,682.0,24.57196823203039
put,0.065,645.0,24.162531453854584
call,0.185,697.0,-23.584302094598243
put,0.045,635.0,22.952249222822097
put,0.62,683.0,22.810165520448354
put,0.265,671.0,22.057607906172834
put,0.11499999999999999,655.0,21.93972303618315
put,0.445,675.0,21.586489703667837
put,0.235,662.0,20.666926767701348
put,0.305,672.0,20.53592630693802
put,0.065,635.0,20.523350935417298
put,0.025,620.0,20.06625829275582
put,0.74,684.0,20.045998700222775
put,0.025,610.0,19.706509659328862
put,0.345,673.0,19.65606166579428
put,0.025,615.0,19.589712971521188
put,0.395,674.0,19.333639067313786
put,0.08499999999999999,640.0,19.32069371288011
put,0.035,600.0,19.06197739921102
put,0.11499999999999999,645.0,18.983354706342144
put,0.20500000000000002,661.0,18.488133255452553
call,0.315,696.0,-18.299071932368953
put,0.07500000000000001,625.0,18.239243812591795
put,0.315,665.0,18.210385861881424
put,0.155,650.0,18.125760407672235
put,0.045,625.0,18.11293530254956
put,0.89,685.0,18.026341248940312
put,0.055,630.0,17.843924781409218
put,0.255,663.0,17.821872179773475
put,0.065,620.0,17.64874966718553
put,0.045,620.0,17.622734166848648
put,0.28500000000000003,664.0,17.32222927925271
call,0.045,702.0,-17.237451510721186
put,0.055,615.0,17.197149518875612
put,0.51,676.0,17.0496422122277
put,0.035,610.0,16.864873187742173
put,0.575,677.0,16.857948841908634
put,0.48,669.0,16.793071933514973
put,0.14500000000000002,640.0,16.777809126534642
put,0.095,630.0,16.598656097944694
put,0.045,610.0,16.535674753991437
put,0.11499999999999999,635.0,16.49627589311483
call,0.07500000000000001,701.0,-16.4748828621792
put,0.225,655.0,16.04580162313491
put,1.065,686.0,15.753136834907346
put,0.185,645.0,15.723585724292096
put,0.015,640.0,15.54175305635448
put,0.66,678.0,15.424779251965893
call,0.125,700.0,-15.406689653958768
put,0.385,667.0,15.336078703137021
